Date,SKU_ID,SKU_Name,Category,Region,Units_Sold,Unit_Price,Current_Stock,Reorder_Level,Lead_Time_Days,Promotion_Flag,Revenue
2025-03-30,SKU1017,Home_Item_2,Home & Kitchen,South,292.0,848.27,496.6,42,19,0,247694.84
2025-07-13,SKU1008,Grocery_Item_3,Grocery,North,98.0,1136.36,472.5,33,11,1,111363.28
2025-08-03,SKU1004,Electronics_Item_4,ELECTRONICS,South,226.0,1914.79,1458.2,67,15,0,432742.54
2025-05-04,SKU1003,Electronics_Item_3,Electronics,East,276.0,280.73,1639.8,78,12,0,77481.48
2024-10-13,SKU1008,Grocery_Item_3,Grocery,East,102.0,1136.36,1037.5,33,11,0,115908.72
01-09-2024,SKU1009,Grocery_Item_4,Grocery,South,173.0,1408.73,1076.5,23,18,0,243710.29
2024-10-06,SKU1005,Electronics_Item_5,Electronics,South,82.0,363.88,137.9,47,18,0,29838.16
2024-12-01,SKU1020,Home_Item_5,Home & Kitchen,North,41.0,,286.3,60,13,0,24843.13
2024-11-24,SKU1006,Grocery_Item_1,Grocery,South  ,379.0,958.46,4337.0,75,6,0,363256.34
2025-06-29,SKU1009,Grocery_Item_4,Grocery,East  ,147.0,1408.73,991.3,23,18,0,207083.31
2025-10-12,SKU1015,Apparel_Item_5,Apparel,North,44.0,428.01,179.2,60,16,0,18832.44
2025-05-18,SKU1005,Electronics_Item_5,Electronics,West,45.0,363.88,279.4,47,18,0,16374.6
26-01-2025,SKU1004,Electronics_Item_4,Electronics,East,430.0,1914.79,1525.7,67,15,0,823359.7
2025-01-05,SKU1005,Electronics_Item_5,Electronics,North,68.0,363.88,770.9,47,18,0,24743.84
2026-03-22,SKU1021,Beauty_Item_1,Beauty,North,279.0,1121.02,261.5,69,5,0,312764.58
2024-11-10,SKU1004,Electronics_Item_4,Electronics,East,405.0,1914.79,6307.7,67,15,0,775489.95
2024-09-15,SKU1019,Home_Item_4,Home & Kitchen,South,247.0,368.31,979.9,48,15,0,90972.57
2025-05-04,SKU1009,Grocery_Item_4,Grocery,West,183.0,1408.73,2377.3,23,18,0,257797.59
2025-12-07,SKU1003,Electronics_Item_3,Electronics,South,336.0,280.73,997.4,78,12,0,94325.28
2026-05-10,SKU1009,Grocery_Item_4,Grocery,East,,1408.73,166.7,23,18,0,232440.45
2026-06-14,SKU1013,Apparel_Item_3,Apparel,North,207.0,1957.04,1581.2,31,16,0,405107.28
2025-01-12,SKU1019,Home_Item_4,Home & Kitchen,East,217.0,368.31,2888.0,48,15,0,79923.27
2024-11-17,SKU1008,Grocery_Item_3,GROCERY,South,165.0,1136.36,439.5,33,11,1,187499.4
2025-05-18,SKU1015,Apparel_Item_5,Apparel,North,26.0,428.01,237.3,60,16,0,11128.26
2026-06-14,SKU1012,Apparel_Item_2,Apparel,East,80.0,2428.21,485.3,73,11,0,194256.8
2025-05-04,SKU1007,Grocery_Item_2,Grocery,East,192.0,1627.47,1081.2,69,10,0,312474.24
2026-08-02,SKU1022,Beauty_Item_2,Beauty,South,91.0,1765.65,631.0,38,4,0,160674.15
2025-08-10,SKU1003,Electronics_Item_3,Electronics,North,,280.73,1126.3,78,12,1,116222.22
2026-05-31,SKU1009,Grocery_Item_4,Grocery,West,167.0,1408.73,994.4,23,18,0,235257.91
2026-04-19,SKU1021,Beauty_Item_1,Beauty,East,253.0,1121.02,750.9,69,5,0,283618.06
2025-10-26,SKU1023,Beauty_Item_3,Beauty,West  ,178.0,2089.04,445.6,68,10,0,371849.12
2026-01-18,SKU1012,Apparel_Item_2,Apparel,South,71.0,2428.21,272.1,73,11,0,172402.91
2024-11-24,SKU1024,Beauty_Item_4,Beauty,West,148.0,999.32,579.6,37,19,0,147899.36
2025-08-17,SKU1013,Apparel_Item_3,Apparel,West,311.0,1957.04,1720.3,31,16,0,608639.44
2025-11-09,SKU1013,Apparel_Item_3,APPAREL,South,342.0,1957.04,1480.5,31,16,0,669307.68
2025-02-16,SKU1020,Home_Item_5,Home & Kitchen,South,43.0,605.93,195.6,60,13,0,26054.99
2025-05-18,SKU1006,Grocery_Item_1,GROCERY,North,212.0,958.46,1763.9,75,6,0,203193.52
17-11-2024,SKU1023,Beauty_Item_3,Beauty,South,211.0,2089.04,957.4,68,10,0,440787.44
2025-03-16,SKU1021,Beauty_Item_1,Beauty,South,317.0,1121.02,2639.3,69,5,0,355363.34
2024-09-01,SKU1007,Grocery_Item_2,Grocery,West,248.0,1627.47,1453.9,69,10,0,403612.56
2024-11-03,SKU1023,Beauty_Item_3,BEAUTY,West,221.0,2089.04,348.8,68,10,0,461677.84
2025-11-23,SKU1022,Beauty_Item_2,Beauty,East,135.0,1765.65,906.2,38,4,0,238362.75
2025-12-07,SKU1009,Grocery_Item_4,Grocery,East  ,,1408.73,865.4,23,18,0,322599.17
2026-04-26,SKU1024,Beauty_Item_4,BEAUTY,North,88.0,999.32,547.8,37,19,0,87940.16
2024-10-06,SKU1015,Apparel_Item_5,Apparel,North,40.0,428.01,150.0,60,16,0,17120.4
12-04-2026,SKU1010,Grocery_Item_5,Grocery,West,185.0,2077.7,2170.2,57,7,0,384374.5
2024-12-08,SKU1013,Apparel_Item_3,Apparel,South,283.0,1957.04,2149.6,31,16,0,553842.32
2024-12-01,SKU1009,Grocery_Item_4,Grocery,South  ,235.0,1408.73,654.7,23,18,0,331051.55
2025-10-12,SKU1004,Electronics_Item_4,Electronics,North  ,393.0,1914.79,5478.7,67,15,0,752512.47
2025-08-24,SKU1012,Apparel_Item_2,Apparel,South,76.0,2428.21,418.1,73,11,0,184543.96
2026-05-24,SKU1020,Home_Item_5,HOME & KITCHEN,West,37.0,605.93,200.2,60,13,0,22419.41
2024-12-22,SKU1020,Home_Item_5,Home & Kitchen,West,67.0,605.93,125.3,60,13,1,40597.31
2026-03-22,SKU1006,Grocery_Item_1,Grocery,East,285.0,958.46,267.7,75,6,0,273161.1
2024-11-03,SKU1012,Apparel_Item_2,Apparel,East,132.0,2428.21,,73,11,1,320523.72
2024-12-01,SKU1002,Electronics_Item_2,Electronics,East,190.0,2153.56,948.0,61,4,0,409176.4
2025-10-19,SKU1006,Grocery_Item_1,Grocery,North,280.0,958.46,631.2,75,6,0,268368.8
2025-03-16,SKU1011,Apparel_Item_1,Apparel,West,207.0,1907.31,749.5,41,15,1,394813.17
2025-09-14,SKU1025,Beauty_Item_5,Beauty,North,234.0,1722.11,1851.2,28,14,0,402973.74
2026-02-08,SKU1025,Beauty_Item_5,Beauty,South,331.0,1722.11,440.1,28,14,0,570018.41
2026-01-25,SKU1022,Beauty_Item_2,Beauty,West,227.0,1765.65,213.6,38,4,1,400802.55
2026-02-08,SKU1006,Grocery_Item_1,Grocery,East,305.0,958.46,572.6,75,6,0,292330.3
2024-10-20,SKU1020,Home_Item_5,Home & Kitchen,North,43.0,605.93,539.3,60,13,0,26054.99
2026-01-04,SKU1005,Electronics_Item_5,Electronics,West,69.0,363.88,294.0,47,18,0,25107.72
22-12-2024,SKU1007,Grocery_Item_2,Grocery,North,264.0,1627.47,210.6,69,10,0,429652.08
2026-07-26,SKU1010,Grocery_Item_5,Grocery,North,160.0,2077.7,2859.7,57,7,0,332432.0
2026-05-17,SKU1007,Grocery_Item_2,Grocery,South,232.0,1627.47,875.0,69,10,0,377573.04
2026-05-17,SKU1016,Home_Item_1,Home & Kitchen,East,64.0,1874.67,82.3,78,9,0,119978.88
2025-12-07,SKU1007,Grocery_Item_2,Grocery,South,317.0,1627.47,605.7,69,10,0,515907.99
2025-01-05,SKU1016,Home_Item_1,Home & Kitchen,South,116.0,1874.67,1435.2,78,9,0,217461.72
2025-10-12,SKU1002,Electronics_Item_2,Electronics,North,244.0,2153.56,559.7,61,4,0,525468.64
2025-01-26,SKU1012,Apparel_Item_2,Apparel,East,59.0,2428.21,261.5,73,11,0,143264.39
2025-02-16,SKU1023,Beauty_Item_3,Beauty,West,167.0,2089.04,253.3,68,10,0,348869.68
2026-04-19,SKU1001,Electronics_Item_1,Electronics,West,56.0,1946.19,242.2,46,14,0,108986.64
2025-08-03,SKU1017,Home_Item_2,Home & Kitchen,South,,848.27,135.3,42,19,0,206977.88
2024-10-13,SKU1012,Apparel_Item_2,Apparel,North,79.0,2428.21,149.4,73,11,0,191828.59
2025-09-14,SKU1001,Electronics_Item_1,Electronics,West,72.0,1946.19,368.3,46,14,0,140125.68
14-09-2025,SKU1022,Beauty_Item_2,Beauty,South,123.0,1765.65,2079.2,38,4,0,217174.95
2025-02-09,SKU1011,Apparel_Item_1,Apparel,North,162.0,1907.31,636.0,41,15,0,308984.22
2025-05-11,SKU1009,Grocery_Item_4,Grocery,East  ,171.0,1408.73,2206.3,23,18,0,240892.83
2024-11-10,SKU1005,Electronics_Item_5,Electronics,West,78.0,363.88,77.1,47,18,0,28382.64
2026-02-01,SKU1025,Beauty_Item_5,Beauty,South,365.0,1722.11,771.1,28,14,0,628570.15
2026-04-19,SKU1006,Grocery_Item_1,Grocery,West  ,263.0,958.46,808.0,75,6,0,252074.98
2025-01-19,SKU1012,Apparel_Item_2,Apparel,South,79.0,2428.21,320.5,73,11,0,191828.59
2025-11-23,SKU1016,Home_Item_1,HOME & KITCHEN,North,88.0,1874.67,485.9,78,9,0,164970.96
2026-08-02,SKU1011,Apparel_Item_1,Apparel,West,223.0,1907.31,526.9,41,15,1,425330.13
2025-06-29,SKU1017,Home_Item_2,Home & Kitchen,South,243.0,848.27,1321.3,42,19,0,206129.61
23-03-2025,SKU1013,Apparel_Item_3,Apparel,East,256.0,1957.04,770.6,31,16,0,501002.24
2025-11-02,SKU1016,Home_Item_1,HOME & KITCHEN,East  ,101.0,1874.67,172.7,78,9,0,189341.67
2026-07-05,SKU1020,Home_Item_5,Home & Kitchen,West,38.0,605.93,,60,13,0,23025.34
2025-03-16,SKU1001,Electronics_Item_1,Electronics,South,77.0,1946.19,1094.5,46,14,0,149856.63
2025-10-26,SKU1013,Apparel_Item_3,Apparel,East,306.0,1957.04,715.7,31,16,0,598854.24
2025-05-04,SKU1024,Beauty_Item_4,Beauty,South,88.0,999.32,543.6,37,19,0,87940.16
2024-09-08,SKU1020,Home_Item_5,HOME & KITCHEN,East,37.0,605.93,,60,13,0,22419.41
2024-12-22,SKU1013,Apparel_Item_3,Apparel,South,392.0,1957.04,1448.6,31,16,0,767159.68
2026-03-08,SKU1025,Beauty_Item_5,Beauty,East,297.0,1722.11,5261.2,28,14,0,511466.67
2024-09-29,SKU1008,Grocery_Item_3,Grocery,East,77.0,1136.36,1232.5,33,11,0,87499.72
2025-10-19,SKU1020,Home_Item_5,Home & Kitchen,North,38.0,605.93,109.9,60,13,0,23025.34
2026-06-07,SKU1018,Home_Item_3,HOME & KITCHEN,North,,1200.41,1075.0,31,17,0,184863.14
2026-01-11,SKU1005,Electronics_Item_5,Electronics,North,143.0,363.88,151.0,47,18,1,52034.84
2024-12-15,SKU1001,Electronics_Item_1,Electronics,South,,1946.19,93.0,46,14,0,186834.24
2026-02-08,SKU1022,Beauty_Item_2,Beauty,West,125.0,1765.65,622.7,38,4,0,220706.25
11-05-2025,SKU1024,Beauty_Item_4,Beauty,South,76.0,999.32,467.6,37,19,0,75948.32
2025-10-12,SKU1020,Home_Item_5,Home & Kitchen,West,47.0,605.93,147.9,60,13,0,28478.71
2026-01-18,SKU1017,Home_Item_2,Home & Kitchen,East,646.0,848.27,1565.7,42,19,1,547982.42
2024-11-03,SKU1010,Grocery_Item_5,Grocery,South,217.0,2077.7,532.7,57,7,0,450860.9
2026-02-08,SKU1009,Grocery_Item_4,Grocery,East,218.0,1408.73,51.8,23,18,0,307103.14
2026-07-19,SKU1013,Apparel_Item_3,Apparel,North,265.0,1957.04,231.2,31,16,0,518615.6
2026-01-25,SKU1005,Electronics_Item_5,Electronics,South,75.0,363.88,364.5,47,18,0,27291.0
2025-03-23,SKU1006,Grocery_Item_1,Grocery,East,250.0,958.46,498.9,75,6,0,239615.0
2025-01-12,SKU1005,Electronics_Item_5,Electronics,West,64.0,363.88,706.9,47,18,0,23288.32
2025-03-30,SKU1021,Beauty_Item_1,Beauty,West,284.0,1121.02,2096.3,69,5,0,318369.68
2025-04-27,SKU1012,Apparel_Item_2,Apparel,North,72.0,2428.21,1186.1,73,11,0,174831.12
2024-12-08,SKU1017,Home_Item_2,Home & Kitchen,North,871.0,848.27,2040.6,42,19,1,738843.17
2025-10-26,SKU1004,Electronics_Item_4,Electronics,North,385.0,1914.79,4520.7,67,15,0,737194.15
2025-09-21,SKU1020,Home_Item_5,Home & Kitchen,North,34.0,605.93,88.2,60,13,0,20601.62
2025-09-28,SKU1012,Apparel_Item_2,Apparel,South,85.0,2428.21,1241.7,73,11,0,206397.85
2025-08-03,SKU1001,Electronics_Item_1,ELECTRONICS,North,80.0,,411.3,46,14,0,155695.2
2026-03-29,SKU1017,Home_Item_2,Home & Kitchen,East,,848.27,1491.6,42,19,1,342701.08
2025-01-26,SKU1015,Apparel_Item_5,Apparel,North,78.0,428.01,435.8,60,16,1,33384.78
2025-07-06,SKU1014,Apparel_Item_4,Apparel,East,115.0,1193.47,2475.9,22,11,0,137249.05
2025-12-28,SKU1006,Grocery_Item_1,Grocery,West,345.0,958.46,1121.4,75,6,0,330668.7
2026-08-02,SKU1009,Grocery_Item_4,Grocery,East,207.0,1408.73,640.3,23,18,0,291607.11
2025-11-16,SKU1007,Grocery_Item_2,Grocery,North,274.0,1627.47,1482.7,69,10,0,445926.78
2024-12-29,SKU1004,Electronics_Item_4,Electronics,East,393.0,1914.79,3374.7,67,15,0,752512.47
2025-01-26,SKU1024,Beauty_Item_4,Beauty,East,121.0,999.32,679.6,37,19,0,120917.72
2026-04-12,SKU1003,Electronics_Item_3,Electronics,West,242.0,280.73,649.3,78,12,0,67936.66
2024-09-01,SKU1004,Electronics_Item_4,ELECTRONICS,West  ,,1914.79,1514.4,67,15,0,601244.06
2026-04-12,SKU1018,Home_Item_3,Home & Kitchen,East,148.0,1200.41,46.9,31,17,0,177660.68
2025-05-11,SKU1014,Apparel_Item_4,Apparel,North,108.0,1193.47,231.1,22,11,0,128894.76
08-06-2025,SKU1002,Electronics_Item_2,Electronics,North,109.0,2153.56,1367.7,61,4,0,234738.04
07-12-2025,SKU1016,Home_Item_1,Home & Kitchen,West,96.0,1874.67,284.9,78,9,0,179968.32
2026-01-25,SKU1017,Home_Item_2,Home & Kitchen,North,309.0,848.27,1256.7,42,19,0,262115.43
20-10-2024,SKU1014,Apparel_Item_4,APPAREL,East,194.0,1193.47,931.1,22,11,0,231533.18
2025-06-08,SKU1007,Grocery_Item_2,Grocery,East  ,214.0,1627.47,1314.8,69,10,0,348278.58
2026-06-21,SKU1015,Apparel_Item_5,Apparel,East,29.0,428.01,204.5,60,16,0,12412.29
2025-04-20,SKU1006,Grocery_Item_1,Grocery,West,231.0,958.46,765.9,75,6,0,221404.26
2026-01-04,SKU1001,Electronics_Item_1,Electronics,West,208.0,1946.19,444.4,46,14,1,404807.52
2026-08-16,SKU1020,Home_Item_5,Home & Kitchen,East,65.0,605.93,246.8,60,13,1,39385.45
2026-08-16,SKU1023,Beauty_Item_3,Beauty,South,146.0,2089.04,612.9,68,10,0,304999.84
2025-03-02,SKU1019,Home_Item_4,Home & Kitchen,South,324.0,368.31,1021.0,48,15,1,119332.44
2025-07-27,SKU1014,Apparel_Item_4,Apparel,North,165.0,1193.47,2047.9,22,11,0,196922.55
27-04-2025,SKU1006,Grocery_Item_1,Grocery,North  ,164.0,958.46,601.9,75,6,0,157187.44
2026-03-01,SKU1009,Grocery_Item_4,Grocery,North  ,252.0,1408.73,670.1,23,18,0,354999.96
2026-03-15,SKU1024,Beauty_Item_4,Beauty,North,98.0,999.32,385.8,37,19,0,97933.36
2026-07-26,SKU1025,Beauty_Item_5,Beauty,West,369.0,1722.11,1240.2,28,14,1,635458.59
2026-06-07,SKU1011,Apparel_Item_1,Apparel,East,142.0,1907.31,784.0,41,15,0,270838.02
2025-05-11,SKU1019,Home_Item_4,Home & Kitchen,South,191.0,368.31,408.8,48,15,0,70347.21
2024-10-13,SKU1010,Grocery_Item_5,Grocery,West  ,224.0,,1203.7,57,7,0,465404.8
2026-08-16,SKU1001,Electronics_Item_1,ELECTRONICS,East,61.0,1946.19,355.6,46,14,0,118717.59
2025-01-05,SKU1017,Home_Item_2,Home & Kitchen,East,334.0,848.27,519.6,42,19,0,283322.18
2026-05-10,SKU1011,Apparel_Item_1,Apparel,East,155.0,1907.31,464.7,41,15,0,295633.05
2025-03-16,SKU1019,Home_Item_4,Home & Kitchen,West,150.0,368.31,,48,15,0,55246.5
2026-04-05,SKU1001,Electronics_Item_1,Electronics,West,62.0,1946.19,355.2,46,14,0,120663.78
2025-02-09,SKU1003,Electronics_Item_3,Electronics,South,384.0,280.73,3221.4,78,12,1,107800.32
2026-02-22,SKU1006,Grocery_Item_1,Grocery,East  ,324.0,958.46,,75,6,0,310541.04
2026-05-31,SKU1022,Beauty_Item_2,BEAUTY,West,70.0,1765.65,1320.0,38,4,0,123595.5
2025-07-27,SKU1017,Home_Item_2,Home & Kitchen,South,228.0,848.27,379.3,42,19,0,193405.56
2025-01-12,SKU1001,Electronics_Item_1,Electronics,North,,1946.19,275.7,46,14,0,157641.39
2025-03-23,SKU1008,Grocery_Item_3,Grocery,West,60.0,1136.36,517.2,33,11,0,68181.6
2025-10-19,SKU1014,Apparel_Item_4,APPAREL,West,197.0,1193.47,875.2,22,11,0,235113.59
2026-02-15,SKU1016,Home_Item_1,Home & Kitchen,West,69.0,1874.67,,78,9,0,129352.23
2025-09-21,SKU1013,Apparel_Item_3,Apparel,South,262.0,1957.04,356.3,31,16,0,512744.48
2026-07-05,SKU1005,Electronics_Item_5,Electronics,East,50.0,363.88,71.3,47,18,0,18194.0
2025-08-03,SKU1020,Home_Item_5,Home & Kitchen,North,39.0,605.93,414.2,60,13,0,23631.27
2025-03-02,SKU1010,Grocery_Item_5,Grocery,West,259.0,2077.7,3032.1,57,7,0,538124.3
2025-09-28,SKU1007,Grocery_Item_2,Grocery,North,308.0,1627.47,631.8,69,10,0,501260.76
2026-07-26,SKU1001,Electronics_Item_1,Electronics,North,50.0,1946.19,523.6,46,14,0,97309.5
2026-08-16,SKU1005,Electronics_Item_5,Electronics,West,57.0,363.88,125.3,47,18,0,20741.16
2025-10-26,SKU1024,Beauty_Item_4,Beauty,North,127.0,999.32,287.3,37,19,0,126913.64
2025-07-27,SKU1025,Beauty_Item_5,Beauty,,,1722.11,3588.2,28,14,0,347866.22
2025-07-27,SKU1004,Electronics_Item_4,Electronics,West,270.0,1914.79,1684.2,67,15,0,516993.3
2026-01-04,SKU1008,Grocery_Item_3,Grocery,West,116.0,1136.36,1903.8,33,11,0,131817.76
2025-03-30,SKU1023,Beauty_Item_3,BEAUTY,North  ,223.0,2089.04,2825.9,68,10,1,465855.92
2025-08-17,SKU1022,Beauty_Item_2,BEAUTY,West,99.0,1765.65,386.6,38,4,0,174799.35
07-09-2025,SKU1003,Electronics_Item_3,Electronics,North,263.0,280.73,1436.5,78,12,0,73831.99
2025-09-28,SKU1014,Apparel_Item_4,Apparel,West,211.0,1193.47,466.9,22,11,0,251822.17
2026-07-19,SKU1019,Home_Item_4,HOME & KITCHEN,,151.0,368.31,1255.6,48,15,0,55614.81
2024-10-06,SKU1019,Home_Item_4,Home & Kitchen,West  ,215.0,368.31,321.9,48,15,0,79186.65
2026-02-08,SKU1017,Home_Item_2,Home & Kitchen,South,353.0,848.27,611.7,42,19,0,299439.31
2026-08-16,SKU1004,Electronics_Item_4,Electronics,South  ,336.0,1914.79,1831.9,67,15,0,643369.44
2026-03-22,SKU1017,Home_Item_2,Home & Kitchen,,265.0,848.27,286.3,42,19,0,224791.55
2026-05-03,SKU1025,Beauty_Item_5,Beauty,West,176.0,1722.11,3624.2,28,14,0,303091.36
2026-06-07,SKU1020,Home_Item_5,Home & Kitchen,North,33.0,605.93,136.2,60,13,0,19995.69
2024-12-08,SKU1010,Grocery_Item_5,Grocery,North,220.0,2077.7,646.4,57,7,0,457094.0
2025-12-28,SKU1021,Beauty_Item_1,Beauty,East,357.0,1121.02,645.8,69,5,0,400204.14
2026-03-29,SKU1012,Apparel_Item_2,Apparel,North,61.0,2428.21,869.4,73,11,0,148120.81
2025-07-13,SKU1022,Beauty_Item_2,Beauty,North,72.0,1765.65,316.5,38,4,0,127126.8
2026-03-08,SKU1022,Beauty_Item_2,Beauty,South,76.0,1765.65,210.7,38,4,0,134189.4
08-02-2026,SKU1011,Apparel_Item_1,Apparel,South,178.0,1907.31,917.4,41,15,0,339501.18
2025-02-16,SKU1015,Apparel_Item_5,Apparel,West,,428.01,268.8,60,16,1,36380.85
2024-10-27,SKU1024,Beauty_Item_4,Beauty,East,108.0,999.32,448.5,37,19,0,107926.56
2025-01-19,SKU1007,Grocery_Item_2,Grocery,North,533.0,1627.47,197.5,69,10,1,867441.51
2025-11-02,SKU1024,Beauty_Item_4,Beauty,North,102.0,999.32,185.3,37,19,0,101930.64
2026-03-29,SKU1022,Beauty_Item_2,Beauty,South,82.0,1765.65,588.1,38,4,0,144783.3
2024-10-06,SKU1014,Apparel_Item_4,APPAREL,North,178.0,1193.47,137.1,22,11,0,212437.66
2025-06-01,SKU1024,Beauty_Item_4,Beauty,East,86.0,999.32,178.6,37,19,0,85941.52
2026-05-17,SKU1004,Electronics_Item_4,Electronics,East,2549.2010963587413,1914.79,1507.9,67,15,0,390617.16
2025-08-10,SKU1021,Beauty_Item_1,Beauty,East,291.0,1121.02,,69,5,0,326216.82
2026-07-19,SKU1014,Apparel_Item_4,Apparel,North  ,130.0,1193.47,355.6,22,11,0,155151.1
2026-05-31,SKU1024,Beauty_Item_4,Beauty,South,79.0,999.32,122.8,37,19,0,78946.28
2024-11-10,SKU1002,Electronics_Item_2,Electronics,South,294.0,2153.56,408.9,61,4,0,633146.64
2025-08-03,SKU1024,Beauty_Item_4,Beauty,East,119.0,999.32,1743.3,37,19,0,118919.08
2026-05-24,SKU1017,Home_Item_2,Home & Kitchen,North,186.0,848.27,5616.6,42,19,0,157778.22
2026-01-25,SKU1023,Beauty_Item_3,Beauty,West  ,218.0,2089.04,970.1,68,10,0,455410.72
2026-07-26,SKU1019,Home_Item_4,Home & Kitchen,North,199.0,368.31,1056.6,48,15,0,73293.69
2025-12-28,SKU1009,Grocery_Item_4,Grocery,North,221.0,1408.73,126.4,23,18,0,311329.33
2025-12-14,SKU1018,Home_Item_3,Home & Kitchen,West,237.0,1200.41,1364.0,31,17,0,284497.17
2026-02-01,SKU1021,Beauty_Item_1,Beauty,South,338.0,1121.02,700.4,69,5,0,378904.76
2025-11-23,SKU1010,Grocery_Item_5,Grocery,West,252.0,2077.7,1377.0,57,7,0,523580.4
2025-11-16,SKU1003,Electronics_Item_3,Electronics,South,236.0,280.73,164.6,78,12,0,66252.28
2025-03-09,SKU1022,Beauty_Item_2,Beauty,South,90.0,1765.65,562.4,38,4,0,158908.5
2025-08-17,SKU1008,Grocery_Item_3,Grocery,South,78.0,1136.36,34.5,33,11,0,88636.08
2026-03-15,SKU1013,Apparel_Item_3,Apparel,East,251.0,1957.04,396.0,31,16,0,491217.04
2025-02-02,SKU1001,Electronics_Item_1,Electronics,East,94.0,1946.19,1652.5,46,14,0,182941.86
2025-09-21,SKU1001,Electronics_Item_1,Electronics,East,83.0,1946.19,285.3,46,14,0,161533.77
2025-07-27,SKU1022,Beauty_Item_2,Beauty,North,75.0,1765.65,150.5,38,4,0,132423.75
2026-08-02,SKU1003,Electronics_Item_3,Electronics,North,312.0,,1167.1,78,12,0,87587.76
06-10-2024,SKU1020,Home_Item_5,Home & Kitchen,West,45.0,605.93,613.3,60,13,0,27266.85
2024-09-08,SKU1019,Home_Item_4,Home & Kitchen,South,200.0,368.31,1226.9,48,15,0,73662.0
2024-09-22,SKU1025,Beauty_Item_5,Beauty,East,251.0,1722.11,434.1,28,14,0,432249.61
2025-03-02,SKU1002,Electronics_Item_2,Electronics,North,167.0,2153.56,3351.7,61,4,0,359644.52
2025-11-30,SKU1002,Electronics_Item_2,Electronics,South,305.0,2153.56,857.3,61,4,0,656835.8
2025-10-12,SKU1018,Home_Item_3,Home & Kitchen,South,251.0,1200.41,3364.0,31,17,0,301302.91
2024-11-10,SKU1020,Home_Item_5,Home & Kitchen,South,37.0,605.93,415.3,60,13,0,22419.41
2026-04-26,SKU1020,Home_Item_5,Home & Kitchen,North,34.0,605.93,344.2,60,13,0,20601.62
15-02-2026,SKU1014,Apparel_Item_4,Apparel,South,169.0,1193.47,434.6,22,11,0,201696.43
2025-03-02,SKU1023,Beauty_Item_3,Beauty,South,155.0,2089.04,3492.9,68,10,0,323801.2
2026-07-12,SKU1019,Home_Item_4,Home & Kitchen,East,197.0,368.31,,48,15,0,72557.07
2024-12-29,SKU1023,Beauty_Item_3,Beauty,South,351.0,2089.04,505.9,68,10,1,733253.04
2025-09-14,SKU1002,Electronics_Item_2,Electronics,East,196.0,2153.56,98.6,61,4,0,422097.76
2026-03-15,SKU1020,Home_Item_5,Home & Kitchen,North,35.0,605.93,555.2,60,13,0,21207.55
